sample_id	taxon_name	host_family	host_genus	radiation	substrate_type	lifestyle	country	locality	voucher	accession	reference	substrate_notes
NMS1	Peltigera_hydrothyria_NMS1	peltigeraceae	peltigera	no	aquatic	symbiotic	Canada	Nova Scotia	NA		Cornet et al. 2021	
NMS2	Peltigera_hydrothyria_NMS2	peltigeraceae	peltigera	no	aquatic	symbiotic	Canada	Nova Scotia	NA		Cornet et al. 2021	
NMS4	Peltigera_venosa_NMS4	peltigeraceae	peltigera	no	terricolous	symbiotic	Finland		NA		Cornet et al. 2021	
NMS7	Solorina_crocea_NMS7	peltigeraceae	solorina	no	terricolous	symbiotic	Finland		NA		Cornet et al. 2021	
NMS8	Peltigera_dolichorhiza_NMS8	peltigeraceae	peltigera	no	terricolous	symbiotic	Panama		NA		Cornet et al. 2021	
NMS9	Peltigera_phyllidiosa_NMS9	peltigeraceae	peltigera	no	terricolous	symbiotic	United States of America	North Carolina	NA		Cornet et al. 2021	
NOS	Peltigera_aphthosa_NOS	peltigeraceae	peltigera	no	terricolous	symbiotic	Sweden		NA		Cornet et al. 2021	
Nostoc_calcicola_FACHB_389	Nostoc_calcicola_FACHB389	NA	NA	no	terricolous	Free-living	Netherlands	Utrecht	NA	NZ_MRBZ01000000	Zhu et al. 2017	Soil
Nostoc_commune_NIES_4072	Nostoc_commune_NIES_4072	NA	NA	no	NA	NA	NA		NA	NZ_BDUD01000000	Hirose et al. 2017. Unpublished	
Nostoc_flagelliforme_CCNUN1	Nostoc_flagelliforme_CCNUN1	NA	NA	no	terricolous	Free-living	China	"Sunitezuoqi, Inner Mongolia"	NA	NZ_CP024785.1	Shang et al. 2019	dry desert steppes and bare lands
Nostoc_KVJ10	Blasia_pusilla_KVJ10	blasiaceae	blasia	no	terricolous	symbiotic	Norway	Kvaløya island (69.64?N 18.73?E)	NA	NA	Warshan et al. 2018	
Nostoc_KVJ2	Blasia_pusilla_KVJ2	blasiaceae	blasia	no	terricolous	symbiotic	Norway	Kvaløya island (69.64?N 18.73?E)	NA	NA	Warshan et al. 2018	
Nostoc_KVS11	Blasia_pusilla_KVS11	blasiaceae	blasia	no	terricolous	symbiotic	Norway	Kvaløya island (69.64?N 18.73?E)	NA	NA	Warshan et al. 2018	
